biodegradation_time_days,biodegradation_percentage,study_id,instance,phb_initial_mol,phv_initial_mol,biodegradation_condition,degradation_mechanism,t_biodeg,degradation_environment,additive_type_1,additive1_percentage_wt,additive_type_2,additive2_percentage_wt,additive_type_3,additive3_percentage_wt,sample_shape_morphology,pha_degrading_microbes,additives
5.0,3.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
8.0,4.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
12.0,5.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
18.0,6.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
22.0,6.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
30.0,7.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
33.0,15.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
37.0,16.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
42.0,21.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
47.0,26.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
55.0,28.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
59.0,32.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
65.0,38.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
71.0,41.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
75.0,47.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
80.0,54.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
90.0,58.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
100.0,63.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
110.0,66.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
125.0,72.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
129.0,73.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
144.0,78.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
155.0,83.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
170.0,88.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
180.0,90.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
200.0,93.0,1,1,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,10.0,no_additive,0.0,no_additive,0.0,films,bacteria_dominated,yes
3.0,5.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
7.0,6.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
11.0,8.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
14.0,11.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
20.0,14.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
30.0,17.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
33.0,19.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
37.0,24.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
42.0,28.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
47.0,34.0,1,2,88,12,aerobic,hydrolysis_assisted_microbial_assimilation,58.0,compost_organic_fertilizer,plasticizer,3.0,blend_polymer,70.0,no_additive,0.0,films,bacteria_dominated,yes
